L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
50.9	20.9	11.9	0.838	-3.63	-1.07	20.3	-2.89	1.71
50.9	28.3	9.64	0.838	-3.63	-1.07	20.3	-2.89	1.71
50.9	28.3	11.9	0.939	-3.63	-1.07	20.3	-2.89	1.71
50.9	28.3	11.9	0.838	-3.95	-1.07	20.3	-2.89	1.71
50.9	28.3	11.9	0.838	-3.63	-1.64	20.3	-2.89	1.71
50.9	28.3	11.9	0.838	-3.63	-1.07	8.39	-2.89	1.71
50.9	28.3	11.9	0.838	-3.63	-1.07	20.3	-3.4	1.71
50.9	28.3	11.9	0.838	-3.63	-1.07	20.3	-2.89	2.52
50.9	28.3	11.9	0.838	-3.63	-1.07	20.3	-2.89	1.71
86.6	25.1	15.2	0.77	-2.39	-0.152	17.9	-4.39	1.13
147	25.1	15.2	0.77	-2.39	-0.152	17.9	-4.39	1.13
86.6	21.6	15.2	0.77	-2.39	-0.152	17.9	-4.39	1.13
86.6	25.1	12.9	0.77	-2.39	-0.152	17.9	-4.39	1.13
86.6	25.1	15.2	0.917	-2.39	-0.152	17.9	-4.39	1.13
86.6	25.1	15.2	0.77	-2.95	-0.152	17.9	-4.39	1.13
86.6	25.1	15.2	0.77	-2.39	-0.8	17.9	-4.39	1.13
86.6	25.1	15.2	0.77	-2.39	-0.152	10.2	-4.39	1.13
86.6	25.1	15.2	0.77	-2.39	-0.152	17.9	-4.18	1.13
86.6	25.1	15.2	0.77	-2.39	-0.152	17.9	-4.39	2.57
86.6	21.6	12.9	0.917	-2.95	-0.8	10.2	-4.18	2.57
147	25.1	12.9	0.917	-2.95	-0.8	10.2	-4.18	2.57
147	21.6	15.2	0.917	-2.95	-0.8	10.2	-4.18	2.57
147	21.6	12.9	0.77	-2.95	-0.8	10.2	-4.18	2.57
147	21.6	12.9	0.917	-2.39	-0.8	10.2	-4.18	2.57
147	21.6	12.9	0.917	-2.95	-0.152	10.2	-4.18	2.57
147	21.6	12.9	0.917	-2.95	-0.8	17.9	-4.18	2.57
147	21.6	12.9	0.917	-2.95	-0.8	10.2	-4.39	2.57
147	21.6	12.9	0.917	-2.95	-0.8	10.2	-4.18	1.13
147	21.6	12.9	0.917	-2.95	-0.8	10.2	-4.18	2.57
38.4	10.5	7.51	0.888	-2.78	-0.958	14.7	-3.86	1.54
195	10.5	7.51	0.888	-2.78	-0.958	14.7	-3.86	1.54
38.4	10.9	7.51	0.888	-2.78	-0.958	14.7	-3.86	1.54
38.4	10.5	14.9	0.888	-2.78	-0.958	14.7	-3.86	1.54
38.4	10.5	7.51	0.763	-2.78	-0.958	14.7	-3.86	1.54
38.4	10.5	7.51	0.888	-3.38	-0.958	14.7	-3.86	1.54
38.4	10.5	7.51	0.888	-2.78	-0.484	14.7	-3.86	1.54
38.4	10.5	7.51	0.888	-2.78	-0.958	16.1	-3.86	1.54
38.4	10.5	7.51	0.888	-2.78	-0.958	14.7	-4.77	1.54
38.4	10.5	7.51	0.888	-2.78	-0.958	14.7	-3.86	1.23
38.4	10.9	14.9	0.763	-3.38	-0.484	16.1	-4.77	1.23
195	10.5	14.9	0.763	-3.38	-0.484	16.1	-4.77	1.23
195	10.9	7.51	0.763	-3.38	-0.484	16.1	-4.77	1.23
195	10.9	14.9	0.888	-3.38	-0.484	16.1	-4.77	1.23
195	10.9	14.9	0.763	-2.78	-0.484	16.1	-4.77	1.23
195	10.9	14.9	0.763	-3.38	-0.958	16.1	-4.77	1.23
195	10.9	14.9	0.763	-3.38	-0.484	14.7	-4.77	1.23
195	10.9	14.9	0.763	-3.38	-0.484	16.1	-3.86	1.23
195	10.9	14.9	0.763	-3.38	-0.484	16.1	-4.77	1.54
195	10.9	14.9	0.763	-3.38	-0.484	16.1	-4.77	1.23
195	33.3	13.2	0.836	-3.34	-1.44	24	-2.4	2.18
92.2	33.3	13.2	0.836	-3.34	-1.44	24	-2.4	2.18
195	39	13.2	0.836	-3.34	-1.44	24	-2.4	2.18
195	33.3	8.25	0.836	-3.34	-1.44	24	-2.4	2.18
195	33.3	13.2	0.998	-3.34	-1.44	24	-2.4	2.18
195	33.3	13.2	0.836	-2.19	-1.44	24	-2.4	2.18
195	33.3	13.2	0.836	-3.34	-1.65	24	-2.4	2.18
195	33.3	13.2	0.836	-3.34	-1.44	6.05	-2.4	2.18
195	33.3	13.2	0.836	-3.34	-1.44	24	-2.36	2.18
195	33.3	13.2	0.836	-3.34	-1.44	24	-2.4	2.1
195	39	8.25	0.998	-2.19	-1.65	6.05	-2.36	2.1
92.2	33.3	8.25	0.998	-2.19	-1.65	6.05	-2.36	2.1
92.2	39	13.2	0.998	-2.19	-1.65	6.05	-2.36	2.1
92.2	39	8.25	0.836	-2.19	-1.65	6.05	-2.36	2.1
92.2	39	8.25	0.998	-3.34	-1.65	6.05	-2.36	2.1
92.2	39	8.25	0.998	-2.19	-1.44	6.05	-2.36	2.1
92.2	39	8.25	0.998	-2.19	-1.65	24	-2.36	2.1
92.2	39	8.25	0.998	-2.19	-1.65	6.05	-2.4	2.1
92.2	39	8.25	0.998	-2.19	-1.65	6.05	-2.36	2.18
92.2	39	8.25	0.998	-2.19	-1.65	6.05	-2.36	2.1
163	5.94	15.8	0.867	-3.1	-1.92	10.3	-4.17	1.85
130	5.94	15.8	0.867	-3.1	-1.92	10.3	-4.17	1.85
163	9.26	15.8	0.867	-3.1	-1.92	10.3	-4.17	1.85
163	5.94	7.71	0.867	-3.1	-1.92	10.3	-4.17	1.85
163	5.94	15.8	0.788	-3.1	-1.92	10.3	-4.17	1.85
163	5.94	15.8	0.867	-2.53	-1.92	10.3	-4.17	1.85
163	5.94	15.8	0.867	-3.1	-1.88	10.3	-4.17	1.85
163	5.94	15.8	0.867	-3.1	-1.92	8.56	-4.17	1.85
163	5.94	15.8	0.867	-3.1	-1.92	10.3	-2.58	1.85
163	5.94	15.8	0.867	-3.1	-1.92	10.3	-4.17	2.48
163	9.26	7.71	0.788	-2.53	-1.88	8.56	-2.58	2.48
130	5.94	7.71	0.788	-2.53	-1.88	8.56	-2.58	2.48
130	9.26	15.8	0.788	-2.53	-1.88	8.56	-2.58	2.48
130	9.26	7.71	0.867	-2.53	-1.88	8.56	-2.58	2.48
130	9.26	7.71	0.788	-3.1	-1.88	8.56	-2.58	2.48
130	9.26	7.71	0.788	-2.53	-1.92	8.56	-2.58	2.48
130	9.26	7.71	0.788	-2.53	-1.88	10.3	-2.58	2.48
130	9.26	7.71	0.788	-2.53	-1.88	8.56	-4.17	2.48
130	9.26	7.71	0.788	-2.53	-1.88	8.56	-2.58	1.85
130	9.26	7.71	0.788	-2.53	-1.88	8.56	-2.58	2.48
48.4	35.7	11.4	0.92	-2.54	-0.413	20.9	-2.05	2.49
22.8	35.7	11.4	0.92	-2.54	-0.413	20.9	-2.05	2.49
48.4	32.9	11.4	0.92	-2.54	-0.413	20.9	-2.05	2.49
48.4	35.7	16.7	0.92	-2.54	-0.413	20.9	-2.05	2.49
48.4	35.7	11.4	0.957	-2.54	-0.413	20.9	-2.05	2.49
48.4	35.7	11.4	0.92	-3.86	-0.413	20.9	-2.05	2.49
48.4	35.7	11.4	0.92	-2.54	-0.248	20.9	-2.05	2.49
48.4	35.7	11.4	0.92	-2.54	-0.413	18.5	-2.05	2.49
48.4	35.7	11.4	0.92	-2.54	-0.413	20.9	-4.29	2.49
48.4	35.7	11.4	0.92	-2.54	-0.413	20.9	-2.05	1.37
48.4	32.9	16.7	0.957	-3.86	-0.248	18.5	-4.29	1.37
22.8	35.7	16.7	0.957	-3.86	-0.248	18.5	-4.29	1.37
22.8	32.9	11.4	0.957	-3.86	-0.248	18.5	-4.29	1.37
22.8	32.9	16.7	0.92	-3.86	-0.248	18.5	-4.29	1.37
22.8	32.9	16.7	0.957	-2.54	-0.248	18.5	-4.29	1.37
22.8	32.9	16.7	0.957	-3.86	-0.413	18.5	-4.29	1.37
22.8	32.9	16.7	0.957	-3.86	-0.248	20.9	-4.29	1.37
22.8	32.9	16.7	0.957	-3.86	-0.248	18.5	-2.05	1.37
22.8	32.9	16.7	0.957	-3.86	-0.248	18.5	-4.29	2.49
22.8	32.9	16.7	0.957	-3.86	-0.248	18.5	-4.29	1.37
96.3	17.4	13.7	0.801	-2.18	-0.727	6.62	-2.95	2.83
75.3	17.4	13.7	0.801	-2.18	-0.727	6.62	-2.95	2.83
96.3	26.6	13.7	0.801	-2.18	-0.727	6.62	-2.95	2.83
96.3	17.4	13.5	0.801	-2.18	-0.727	6.62	-2.95	2.83
96.3	17.4	13.7	0.863	-2.18	-0.727	6.62	-2.95	2.83
96.3	17.4	13.7	0.801	-2.29	-0.727	6.62	-2.95	2.83
96.3	17.4	13.7	0.801	-2.18	-0.534	6.62	-2.95	2.83
96.3	17.4	13.7	0.801	-2.18	-0.727	12.8	-2.95	2.83
96.3	17.4	13.7	0.801	-2.18	-0.727	6.62	-3.77	2.83
96.3	17.4	13.7	0.801	-2.18	-0.727	6.62	-2.95	2.95
96.3	26.6	13.5	0.863	-2.29	-0.534	12.8	-3.77	2.95
75.3	17.4	13.5	0.863	-2.29	-0.534	12.8	-3.77	2.95
75.3	26.6	13.7	0.863	-2.29	-0.534	12.8	-3.77	2.95
75.3	26.6	13.5	0.801	-2.29	-0.534	12.8	-3.77	2.95
75.3	26.6	13.5	0.863	-2.18	-0.534	12.8	-3.77	2.95
75.3	26.6	13.5	0.863	-2.29	-0.727	12.8	-3.77	2.95
75.3	26.6	13.5	0.863	-2.29	-0.534	6.62	-3.77	2.95
75.3	26.6	13.5	0.863	-2.29	-0.534	12.8	-2.95	2.95
75.3	26.6	13.5	0.863	-2.29	-0.534	12.8	-3.77	2.83
75.3	26.6	13.5	0.863	-2.29	-0.534	12.8	-3.77	2.95
121	30.7	9.44	0.97	-3.74	-1.25	17.1	-4.78	1.44
167	30.7	9.44	0.97	-3.74	-1.25	17.1	-4.78	1.44
121	15.5	9.44	0.97	-3.74	-1.25	17.1	-4.78	1.44
121	30.7	10.1	0.97	-3.74	-1.25	17.1	-4.78	1.44
121	30.7	9.44	0.876	-3.74	-1.25	17.1	-4.78	1.44
121	30.7	9.44	0.97	-3.1	-1.25	17.1	-4.78	1.44
121	30.7	9.44	0.97	-3.74	-1.34	17.1	-4.78	1.44
121	30.7	9.44	0.97	-3.74	-1.25	22.7	-4.78	1.44
121	30.7	9.44	0.97	-3.74	-1.25	17.1	-3.18	1.44
121	30.7	9.44	0.97	-3.74	-1.25	17.1	-4.78	1.84
121	15.5	10.1	0.876	-3.1	-1.34	22.7	-3.18	1.84
167	30.7	10.1	0.876	-3.1	-1.34	22.7	-3.18	1.84
167	15.5	9.44	0.876	-3.1	-1.34	22.7	-3.18	1.84
167	15.5	10.1	0.97	-3.1	-1.34	22.7	-3.18	1.84
167	15.5	10.1	0.876	-3.74	-1.34	22.7	-3.18	1.84
167	15.5	10.1	0.876	-3.1	-1.25	22.7	-3.18	1.84
167	15.5	10.1	0.876	-3.1	-1.34	17.1	-3.18	1.84
167	15.5	10.1	0.876	-3.1	-1.34	22.7	-4.78	1.84
167	15.5	10.1	0.876	-3.1	-1.34	22.7	-3.18	1.44
167	15.5	10.1	0.876	-3.1	-1.34	22.7	-3.18	1.84
111	16.5	15.4	0.825	-2.9	-0.476	22.3	-3.12	1.21
85.5	16.5	15.4	0.825	-2.9	-0.476	22.3	-3.12	1.21
111	14.6	15.4	0.825	-2.9	-0.476	22.3	-3.12	1.21
111	16.5	7.38	0.825	-2.9	-0.476	22.3	-3.12	1.21
111	16.5	15.4	0.769	-2.9	-0.476	22.3	-3.12	1.21
111	16.5	15.4	0.825	-3.3	-0.476	22.3	-3.12	1.21
111	16.5	15.4	0.825	-2.9	-0.873	22.3	-3.12	1.21
111	16.5	15.4	0.825	-2.9	-0.476	9.99	-3.12	1.21
111	16.5	15.4	0.825	-2.9	-0.476	22.3	-3.04	1.21
111	16.5	15.4	0.825	-2.9	-0.476	22.3	-3.12	1.13
111	14.6	7.38	0.769	-3.3	-0.873	9.99	-3.04	1.13
85.5	16.5	7.38	0.769	-3.3	-0.873	9.99	-3.04	1.13
85.5	14.6	15.4	0.769	-3.3	-0.873	9.99	-3.04	1.13
85.5	14.6	7.38	0.825	-3.3	-0.873	9.99	-3.04	1.13
85.5	14.6	7.38	0.769	-2.9	-0.873	9.99	-3.04	1.13
85.5	14.6	7.38	0.769	-3.3	-0.476	9.99	-3.04	1.13
85.5	14.6	7.38	0.769	-3.3	-0.873	22.3	-3.04	1.13
85.5	14.6	7.38	0.769	-3.3	-0.873	9.99	-3.12	1.13
85.5	14.6	7.38	0.769	-3.3	-0.873	9.99	-3.04	1.21
85.5	14.6	7.38	0.769	-3.3	-0.873	9.99	-3.04	1.13
90.2	29.4	9.9	0.899	-3.46	-1.99	11.5	-4.67	2.57
157	29.4	9.9	0.899	-3.46	-1.99	11.5	-4.67	2.57
90.2	25.4	9.9	0.899	-3.46	-1.99	11.5	-4.67	2.57
90.2	29.4	15.9	0.899	-3.46	-1.99	11.5	-4.67	2.57
90.2	29.4	9.9	0.97	-3.46	-1.99	11.5	-4.67	2.57
90.2	29.4	9.9	0.899	-2.12	-1.99	11.5	-4.67	2.57
90.2	29.4	9.9	0.899	-3.46	-1.01	11.5	-4.67	2.57
90.2	29.4	9.9	0.899	-3.46	-1.99	19.9	-4.67	2.57
90.2	29.4	9.9	0.899	-3.46	-1.99	11.5	-4	2.57
90.2	29.4	9.9	0.899	-3.46	-1.99	11.5	-4.67	2.03
90.2	25.4	15.9	0.97	-2.12	-1.01	19.9	-4	2.03
157	29.4	15.9	0.97	-2.12	-1.01	19.9	-4	2.03
157	25.4	9.9	0.97	-2.12	-1.01	19.9	-4	2.03
157	25.4	15.9	0.899	-2.12	-1.01	19.9	-4	2.03
157	25.4	15.9	0.97	-3.46	-1.01	19.9	-4	2.03
157	25.4	15.9	0.97	-2.12	-1.99	19.9	-4	2.03
157	25.4	15.9	0.97	-2.12	-1.01	11.5	-4	2.03
157	25.4	15.9	0.97	-2.12	-1.01	19.9	-4.67	2.03
157	25.4	15.9	0.97	-2.12	-1.01	19.9	-4	2.57
157	25.4	15.9	0.97	-2.12	-1.01	19.9	-4	2.03
47.5	6.15	12.9	0.751	-3.82	-1.19	15.8	-4.14	2.22
121	6.15	12.9	0.751	-3.82	-1.19	15.8	-4.14	2.22
47.5	32.2	12.9	0.751	-3.82	-1.19	15.8	-4.14	2.22
47.5	6.15	14.5	0.751	-3.82	-1.19	15.8	-4.14	2.22
47.5	6.15	12.9	0.819	-3.82	-1.19	15.8	-4.14	2.22
47.5	6.15	12.9	0.751	-3.56	-1.19	15.8	-4.14	2.22
47.5	6.15	12.9	0.751	-3.82	-1.71	15.8	-4.14	2.22
47.5	6.15	12.9	0.751	-3.82	-1.19	13.9	-4.14	2.22
47.5	6.15	12.9	0.751	-3.82	-1.19	15.8	-4.99	2.22
47.5	6.15	12.9	0.751	-3.82	-1.19	15.8	-4.14	1.67
47.5	32.2	14.5	0.819	-3.56	-1.71	13.9	-4.99	1.67
121	6.15	14.5	0.819	-3.56	-1.71	13.9	-4.99	1.67
121	32.2	12.9	0.819	-3.56	-1.71	13.9	-4.99	1.67
121	32.2	14.5	0.751	-3.56	-1.71	13.9	-4.99	1.67
121	32.2	14.5	0.819	-3.82	-1.71	13.9	-4.99	1.67
121	32.2	14.5	0.819	-3.56	-1.19	13.9	-4.99	1.67
121	32.2	14.5	0.819	-3.56	-1.71	15.8	-4.99	1.67
121	32.2	14.5	0.819	-3.56	-1.71	13.9	-4.14	1.67
121	32.2	14.5	0.819	-3.56	-1.71	13.9	-4.99	2.22
121	32.2	14.5	0.819	-3.56	-1.71	13.9	-4.99	1.67
158	37.6	7.17	0.958	-2.26	-0.666	5.44	-2.12	1.62
31.5	37.6	7.17	0.958	-2.26	-0.666	5.44	-2.12	1.62
158	7.75	7.17	0.958	-2.26	-0.666	5.44	-2.12	1.62
158	37.6	10.3	0.958	-2.26	-0.666	5.44	-2.12	1.62
158	37.6	7.17	0.926	-2.26	-0.666	5.44	-2.12	1.62
158	37.6	7.17	0.958	-2.86	-0.666	5.44	-2.12	1.62
158	37.6	7.17	0.958	-2.26	-0.409	5.44	-2.12	1.62
158	37.6	7.17	0.958	-2.26	-0.666	23.9	-2.12	1.62
158	37.6	7.17	0.958	-2.26	-0.666	5.44	-2.16	1.62
158	37.6	7.17	0.958	-2.26	-0.666	5.44	-2.12	2.56
158	7.75	10.3	0.926	-2.86	-0.409	23.9	-2.16	2.56
31.5	37.6	10.3	0.926	-2.86	-0.409	23.9	-2.16	2.56
31.5	7.75	7.17	0.926	-2.86	-0.409	23.9	-2.16	2.56
31.5	7.75	10.3	0.958	-2.86	-0.409	23.9	-2.16	2.56
31.5	7.75	10.3	0.926	-2.26	-0.409	23.9	-2.16	2.56
31.5	7.75	10.3	0.926	-2.86	-0.666	23.9	-2.16	2.56
31.5	7.75	10.3	0.926	-2.86	-0.409	5.44	-2.16	2.56
31.5	7.75	10.3	0.926	-2.86	-0.409	23.9	-2.12	2.56
31.5	7.75	10.3	0.926	-2.86	-0.409	23.9	-2.16	1.62
31.5	7.75	10.3	0.926	-2.86	-0.409	23.9	-2.16	2.56
193	10.3	11.7	0.989	-2.05	-0.213	19.2	-3.69	2.41
185	10.3	11.7	0.989	-2.05	-0.213	19.2	-3.69	2.41
193	38.3	11.7	0.989	-2.05	-0.213	19.2	-3.69	2.41
193	10.3	11	0.989	-2.05	-0.213	19.2	-3.69	2.41
193	10.3	11.7	0.856	-2.05	-0.213	19.2	-3.69	2.41
193	10.3	11.7	0.989	-2.39	-0.213	19.2	-3.69	2.41
193	10.3	11.7	0.989	-2.05	-0.175	19.2	-3.69	2.41
193	10.3	11.7	0.989	-2.05	-0.213	21.4	-3.69	2.41
193	10.3	11.7	0.989	-2.05	-0.213	19.2	-2.4	2.41
193	10.3	11.7	0.989	-2.05	-0.213	19.2	-3.69	2.93
193	38.3	11	0.856	-2.39	-0.175	21.4	-2.4	2.93
185	10.3	11	0.856	-2.39	-0.175	21.4	-2.4	2.93
185	38.3	11.7	0.856	-2.39	-0.175	21.4	-2.4	2.93
185	38.3	11	0.989	-2.39	-0.175	21.4	-2.4	2.93
185	38.3	11	0.856	-2.05	-0.175	21.4	-2.4	2.93
185	38.3	11	0.856	-2.39	-0.213	21.4	-2.4	2.93
185	38.3	11	0.856	-2.39	-0.175	19.2	-2.4	2.93
185	38.3	11	0.856	-2.39	-0.175	21.4	-3.69	2.93
185	38.3	11	0.856	-2.39	-0.175	21.4	-2.4	2.41
185	38.3	11	0.856	-2.39	-0.175	21.4	-2.4	2.93
35	31.3	16.2	0.782	-3.62	-1.7	9.55	-2.52	1.8
102	31.3	16.2	0.782	-3.62	-1.7	9.55	-2.52	1.8
35	9.42	16.2	0.782	-3.62	-1.7	9.55	-2.52	1.8
35	31.3	12.5	0.782	-3.62	-1.7	9.55	-2.52	1.8
35	31.3	16.2	0.905	-3.62	-1.7	9.55	-2.52	1.8
35	31.3	16.2	0.782	-3.21	-1.7	9.55	-2.52	1.8
35	31.3	16.2	0.782	-3.62	-1.95	9.55	-2.52	1.8
35	31.3	16.2	0.782	-3.62	-1.7	11.4	-2.52	1.8
35	31.3	16.2	0.782	-3.62	-1.7	9.55	-4.44	1.8
35	31.3	16.2	0.782	-3.62	-1.7	9.55	-2.52	1.78
35	9.42	12.5	0.905	-3.21	-1.95	11.4	-4.44	1.78
102	31.3	12.5	0.905	-3.21	-1.95	11.4	-4.44	1.78
102	9.42	16.2	0.905	-3.21	-1.95	11.4	-4.44	1.78
102	9.42	12.5	0.782	-3.21	-1.95	11.4	-4.44	1.78
102	9.42	12.5	0.905	-3.62	-1.95	11.4	-4.44	1.78
102	9.42	12.5	0.905	-3.21	-1.7	11.4	-4.44	1.78
102	9.42	12.5	0.905	-3.21	-1.95	9.55	-4.44	1.78
102	9.42	12.5	0.905	-3.21	-1.95	11.4	-2.52	1.78
102	9.42	12.5	0.905	-3.21	-1.95	11.4	-4.44	1.8
102	9.42	12.5	0.905	-3.21	-1.95	11.4	-4.44	1.78
77.5	21.8	9.16	0.93	-3.23	-1.38	22.7	-3.42	1.4
59.7	21.8	9.16	0.93	-3.23	-1.38	22.7	-3.42	1.4
77.5	20.6	9.16	0.93	-3.23	-1.38	22.7	-3.42	1.4
77.5	21.8	15.2	0.93	-3.23	-1.38	22.7	-3.42	1.4
77.5	21.8	9.16	0.807	-3.23	-1.38	22.7	-3.42	1.4
77.5	21.8	9.16	0.93	-2.65	-1.38	22.7	-3.42	1.4
77.5	21.8	9.16	0.93	-3.23	-1.27	22.7	-3.42	1.4
77.5	21.8	9.16	0.93	-3.23	-1.38	17.5	-3.42	1.4
77.5	21.8	9.16	0.93	-3.23	-1.38	22.7	-3.57	1.4
77.5	21.8	9.16	0.93	-3.23	-1.38	22.7	-3.42	2.4
77.5	20.6	15.2	0.807	-2.65	-1.27	17.5	-3.57	2.4
59.7	21.8	15.2	0.807	-2.65	-1.27	17.5	-3.57	2.4
59.7	20.6	9.16	0.807	-2.65	-1.27	17.5	-3.57	2.4
59.7	20.6	15.2	0.93	-2.65	-1.27	17.5	-3.57	2.4
59.7	20.6	15.2	0.807	-3.23	-1.27	17.5	-3.57	2.4
59.7	20.6	15.2	0.807	-2.65	-1.38	17.5	-3.57	2.4
59.7	20.6	15.2	0.807	-2.65	-1.27	22.7	-3.57	2.4
59.7	20.6	15.2	0.807	-2.65	-1.27	17.5	-3.42	2.4
59.7	20.6	15.2	0.807	-2.65	-1.27	17.5	-3.57	1.4
59.7	20.6	15.2	0.807	-2.65	-1.27	17.5	-3.57	2.4
146	26.4	13.4	0.857	-2.66	-0.895	13.5	-4.32	2.75
138	26.4	13.4	0.857	-2.66	-0.895	13.5	-4.32	2.75
146	27.1	13.4	0.857	-2.66	-0.895	13.5	-4.32	2.75
146	26.4	9.33	0.857	-2.66	-0.895	13.5	-4.32	2.75
146	26.4	13.4	0.949	-2.66	-0.895	13.5	-4.32	2.75
146	26.4	13.4	0.857	-3.96	-0.895	13.5	-4.32	2.75
146	26.4	13.4	0.857	-2.66	-0.609	13.5	-4.32	2.75
146	26.4	13.4	0.857	-2.66	-0.895	7.43	-4.32	2.75
146	26.4	13.4	0.857	-2.66	-0.895	13.5	-3.4	2.75
146	26.4	13.4	0.857	-2.66	-0.895	13.5	-4.32	1.25
146	27.1	9.33	0.949	-3.96	-0.609	7.43	-3.4	1.25
138	26.4	9.33	0.949	-3.96	-0.609	7.43	-3.4	1.25
138	27.1	13.4	0.949	-3.96	-0.609	7.43	-3.4	1.25
138	27.1	9.33	0.857	-3.96	-0.609	7.43	-3.4	1.25
138	27.1	9.33	0.949	-2.66	-0.609	7.43	-3.4	1.25
138	27.1	9.33	0.949	-3.96	-0.895	7.43	-3.4	1.25
138	27.1	9.33	0.949	-3.96	-0.609	13.5	-3.4	1.25
138	27.1	9.33	0.949	-3.96	-0.609	7.43	-4.32	1.25
138	27.1	9.33	0.949	-3.96	-0.609	7.43	-3.4	2.75
138	27.1	9.33	0.949	-3.96	-0.609	7.43	-3.4	1.25
134	7.35	8.52	0.809	-3.29	-0.585	18.6	-3.5	2.34
30.5	7.35	8.52	0.809	-3.29	-0.585	18.6	-3.5	2.34
134	30.4	8.52	0.809	-3.29	-0.585	18.6	-3.5	2.34
134	7.35	8.2	0.809	-3.29	-0.585	18.6	-3.5	2.34
134	7.35	8.52	0.889	-3.29	-0.585	18.6	-3.5	2.34
134	7.35	8.52	0.809	-2.62	-0.585	18.6	-3.5	2.34
134	7.35	8.52	0.809	-3.29	-1.6	18.6	-3.5	2.34
134	7.35	8.52	0.809	-3.29	-0.585	21	-3.5	2.34
134	7.35	8.52	0.809	-3.29	-0.585	18.6	-4.66	2.34
134	7.35	8.52	0.809	-3.29	-0.585	18.6	-3.5	2.64
134	30.4	8.2	0.889	-2.62	-1.6	21	-4.66	2.64
30.5	7.35	8.2	0.889	-2.62	-1.6	21	-4.66	2.64
30.5	30.4	8.52	0.889	-2.62	-1.6	21	-4.66	2.64
30.5	30.4	8.2	0.809	-2.62	-1.6	21	-4.66	2.64
30.5	30.4	8.2	0.889	-3.29	-1.6	21	-4.66	2.64
30.5	30.4	8.2	0.889	-2.62	-0.585	21	-4.66	2.64
30.5	30.4	8.2	0.889	-2.62	-1.6	18.6	-4.66	2.64
30.5	30.4	8.2	0.889	-2.62	-1.6	21	-3.5	2.64
30.5	30.4	8.2	0.889	-2.62	-1.6	21	-4.66	2.34
30.5	30.4	8.2	0.889	-2.62	-1.6	21	-4.66	2.64
66.9	38.8	14.1	0.978	-2.85	-1.06	7.65	-2.71	1.95
122	38.8	14.1	0.978	-2.85	-1.06	7.65	-2.71	1.95
66.9	19.6	14.1	0.978	-2.85	-1.06	7.65	-2.71	1.95
66.9	38.8	16.6	0.978	-2.85	-1.06	7.65	-2.71	1.95
66.9	38.8	14.1	0.871	-2.85	-1.06	7.65	-2.71	1.95
66.9	38.8	14.1	0.978	-3.8	-1.06	7.65	-2.71	1.95
66.9	38.8	14.1	0.978	-2.85	-0.275	7.65	-2.71	1.95
66.9	38.8	14.1	0.978	-2.85	-1.06	11	-2.71	1.95
66.9	38.8	14.1	0.978	-2.85	-1.06	7.65	-2.2	1.95
66.9	38.8	14.1	0.978	-2.85	-1.06	7.65	-2.71	1.51
66.9	19.6	16.6	0.871	-3.8	-0.275	11	-2.2	1.51
122	38.8	16.6	0.871	-3.8	-0.275	11	-2.2	1.51
122	19.6	14.1	0.871	-3.8	-0.275	11	-2.2	1.51
122	19.6	16.6	0.978	-3.8	-0.275	11	-2.2	1.51
122	19.6	16.6	0.871	-2.85	-0.275	11	-2.2	1.51
122	19.6	16.6	0.871	-3.8	-1.06	11	-2.2	1.51
122	19.6	16.6	0.871	-3.8	-0.275	7.65	-2.2	1.51
122	19.6	16.6	0.871	-3.8	-0.275	11	-2.71	1.51
122	19.6	16.6	0.871	-3.8	-0.275	11	-2.2	1.95
122	19.6	16.6	0.871	-3.8	-0.275	11	-2.2	1.51
24.5	15.6	11.1	0.86	-2.49	-1.76	24.5	-3.24	1.36
175	15.6	11.1	0.86	-2.49	-1.76	24.5	-3.24	1.36
24.5	12.7	11.1	0.86	-2.49	-1.76	24.5	-3.24	1.36
24.5	15.6	13.6	0.86	-2.49	-1.76	24.5	-3.24	1.36
24.5	15.6	11.1	0.964	-2.49	-1.76	24.5	-3.24	1.36
24.5	15.6	11.1	0.86	-2.36	-1.76	24.5	-3.24	1.36
24.5	15.6	11.1	0.86	-2.49	-0.944	24.5	-3.24	1.36
24.5	15.6	11.1	0.86	-2.49	-1.76	15.2	-3.24	1.36
24.5	15.6	11.1	0.86	-2.49	-1.76	24.5	-2.81	1.36
24.5	15.6	11.1	0.86	-2.49	-1.76	24.5	-3.24	2.17
24.5	12.7	13.6	0.964	-2.36	-0.944	15.2	-2.81	2.17
175	15.6	13.6	0.964	-2.36	-0.944	15.2	-2.81	2.17
175	12.7	11.1	0.964	-2.36	-0.944	15.2	-2.81	2.17
175	12.7	13.6	0.86	-2.36	-0.944	15.2	-2.81	2.17
175	12.7	13.6	0.964	-2.49	-0.944	15.2	-2.81	2.17
175	12.7	13.6	0.964	-2.36	-1.76	15.2	-2.81	2.17
175	12.7	13.6	0.964	-2.36	-0.944	24.5	-2.81	2.17
175	12.7	13.6	0.964	-2.36	-0.944	15.2	-3.24	2.17
175	12.7	13.6	0.964	-2.36	-0.944	15.2	-2.81	1.36
175	12.7	13.6	0.964	-2.36	-0.944	15.2	-2.81	2.17
181	28.5	16.8	0.912	-3.93	-0.274	14.3	-4.51	2.99
67.6	28.5	16.8	0.912	-3.93	-0.274	14.3	-4.51	2.99
